id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback
008,20,f,0,Practice,NA,0,1,0,4 + 1 + 9 + 1 + 1,16,16,14,15,60.69962059997488,NA,60.69962279999163,65.72794739995152,67.68794029997662,67.68794579990208,69.20578769990243,70.22859469999094,q,16,1.9599929000250995,1,Correct
008,20,f,0,Practice,NA,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,71.74572319991421,NA,71.74572629993781,76.76864699996077,78.91185999999288,78.9118658999214,80.42878769990057,81.44705229997635,e,12,2.1432130000321195,1,Correct
008,20,f,0,Practice,NA,2,2,0,8 + 1 + 6 + 1 - 4,12,11,12,10,82.96573409996927,NA,82.96573999989778,87.98555669991765,90.09581969992723,90.09582589997444,91.61241869989317,92.62931229989044,w,12,2.1102630000095814,1,Correct
008,20,f,0,Practice,NA,3,2,0,9 + 4 - 6 + 1 - 1,7,6,7,5,94.14575849997345,NA,94.1457620000001,99.1647607999621,101.45562149991747,101.4556273999624,102.97202779992949,103.9909310999792,q,6,2.290860699955374,0,Incorrect
008,20,f,0,Practice,NA,4,3,0,9 + 3 - 5 + 6 + 7,20,21,22,20,105.507685199962,NA,105.50768799998332,110.52663659991231,114.51190149993636,114.51190749998204,116.02868429990485,117.04581199993845,w,22,3.985264900024049,0,Incorrect
008,20,f,0,Practice,NA,5,3,0,2 + 1 + 9 - 7 + 6,11,10,11,9,118.562797499937,NA,118.56280039995909,123.58374759997241,132.23176219989546,132.23176839994267,133.7487370999297,134.7669496999588,w,11,8.648014599923044,1,Correct
008,20,f,0,Practice,NA,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,136.28426689992193,NA,136.284269799944,141.3050907999277,145.71188479999546,145.7118905999232,147.22928509989288,148.2477500999812,q,21,4.406794000067748,1,Correct
008,20,f,0,Practice,NA,7,4,0,5 + 8 - 4 + 6 + 9,24,23,24,22,149.76487379998434,NA,149.76487669989,154.7845789999701,159.19977079995442,159.19977749988902,160.71727099991404,161.73545149993151,w,24,4.4151917999843135,1,Correct
008,20,f,0,0,0,0,1,0,4 + 1 + 8 + 1 - 1,13,15,13,14,174.15004249999765,NA,174.15004539990332,179.16962289996445,180.24776619998738,180.24777229991741,181.76463719992898,182.78212489990983,w,13,1.07814330002293,1,Correct
008,20,f,0,0,1,1,1,0,2 + 1 + 1 + 7 + 1,12,11,14,12,184.29923279990908,NA,184.29923579993192,189.31784929998685,190.19154419994447,190.19155019999016,191.7086257999763,192.72684429993387,e,12,0.8736948999576271,1,Correct
008,20,f,0,0,2,2,3,0,2 - 4 + 9 + 7 + 1,15,16,15,13,194.2440590999322,NA,194.24406209995504,199.2643240999896,200.03976499999408,200.0397710999241,201.55643859994598,202.5742573000025,w,15,0.7754409000044689,1,Correct
008,20,f,0,0,3,3,2,0,4 + 9 - 7 + 1 - 1,6,6,5,8,204.09147529990878,NA,204.09147819993086,209.11172179994173,211.77561719994992,211.77562359999865,213.2923115999438,214.31062169990037,w,5,2.6638954000081867,0,Incorrect
008,20,f,0,0,4,4,4,0,8 + 4 + 7 - 5 - 6,8,9,8,7,215.82792429998517,NA,215.82792749989312,220.84849119989667,223.93578169995453,223.93578759999946,225.4527492999332,226.47079839999788,e,7,3.087290500057861,0,Incorrect
008,20,f,0,0,5,5,4,0,4 + 7 + 8 - 3 + 9,25,26,24,25,227.98798159998842,NA,227.98798459989484,233.00854629999958,238.04018649994396,238.04019009997137,239.55807999998797,240.5824314999627,NA,NA,NA,0,Too Slow!
008,20,f,0,0,6,6,4,0,2 + 9 - 4 + 8 + 7,22,22,21,23,242.09955259994604,NA,242.09955549996812,247.12013369996566,249.67161149997264,249.67161719989963,251.1885793999536,252.20655329991132,q,22,2.551477800006978,1,Correct
008,20,f,0,0,7,7,2,0,8 + 1 + 1 + 9 - 4,15,16,14,15,253.72396139998455,NA,253.7239645998925,258.7436138999183,259.743565899902,259.74357179994695,261.2605233999202,262.2785258999793,e,15,0.9999519999837503,1,Correct
008,20,f,0,0,8,8,1,0,4 + 9 + 1 - 1 - 1,12,12,13,11,263.7958234999096,NA,263.7958262999309,268.81499909993727,269.6316165999742,269.63162239990197,271.1489274998894,272.1669097999111,q,12,0.8166175000369549,1,Correct
008,20,f,0,0,9,9,3,0,7 - 5 + 9 + 1 - 4,8,9,8,7,273.6840164999012,NA,273.6840192999225,278.7044115999015,281.5596280999016,281.5596339999465,283.07652509992477,284.09466579998843,e,7,2.855216500000097,0,Incorrect
008,20,f,0,0,10,10,4,0,2 + 9 - 3 + 5 + 8,21,19,21,22,285.6116602999391,NA,285.61166329996195,290.6321793999523,295.4955648999894,295.4955708999187,297.01256879989523,298.03101799997967,w,21,4.863385500037111,1,Correct
