id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback
005,23,f,0,Practice,NA,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,67.83606910007074,NA,67.83607129997108,72.86447659996338,73.96844169998076,73.96844760002568,75.48571579996496,76.50781670003198,e,16,1.1039651000173762,1,Correct
005,23,f,0,Practice,NA,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,78.02521490002982,NA,78.02521800005343,83.04718920006417,83.84032930003013,83.84033549996093,85.35702210001182,86.3750057000434,e,12,0.7931400999659672,1,Correct
005,23,f,0,Practice,NA,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,87.89284680003766,NA,87.89285229996312,92.91265559999738,93.60038489999715,93.6003905000398,95.11766700004227,96.13579269999173,q,12,0.6877292999997735,1,Correct
005,23,f,0,Practice,NA,3,2,0,9 + 4 - 6 + 1 - 1,7,5,6,7,97.65313800005242,NA,97.65314129996113,102.67223010002635,128.6083025999833,128.60830840002745,130.12519960000645,131.14538100000937,q,5,25.936072499956936,0,Incorrect
005,23,f,0,Practice,NA,4,3,0,9 + 3 - 5 + 6 + 7,20,20,21,22,132.66282820003107,NA,132.66283120005392,137.68349500000477,145.75222979998216,145.75223550002556,147.26933989999816,148.28651500004344,w,21,8.068734799977392,0,Incorrect
005,23,f,0,Practice,NA,5,3,0,2 + 1 + 9 - 7 + 6,11,10,9,11,149.80376919999253,NA,149.80377270001918,154.82469849998597,155.44026659999508,155.44027220003773,156.95690300001297,157.9751002000412,e,11,0.6155681000091136,1,Correct
005,23,f,0,Practice,NA,6,4,0,4 + 8 + 5 - 3 + 7,21,22,21,23,159.49251700006425,NA,159.49252009997144,164.51315510005224,178.08010370004922,178.08011039998382,179.59796449996065,180.61579559999518,w,21,13.566948599996977,1,Correct
005,23,f,0,Practice,NA,7,4,0,5 + 8 - 4 + 6 + 9,24,24,22,23,182.13366870000027,NA,182.13367160002235,187.15355160005856,188.83217940002214,188.83218510006554,190.34884930006228,191.36666629998945,q,24,1.6786277999635786,1,Correct
005,23,f,0,0,0,0,2,0,4 + 9 - 7 + 1 - 1,6,6,8,5,211.3265340999933,NA,211.3265377000207,216.34747679997236,219.97609660006128,219.97610229998827,221.49242789996788,222.51013000006787,w,8,3.628619800088927,0,Incorrect
005,23,f,0,0,1,1,1,0,4 + 1 + 8 + 1 - 1,13,13,15,14,224.0266061000293,NA,224.0266090000514,229.04510260000825,229.82423669996206,229.8242428000085,231.3409479999682,232.35895420005545,q,13,0.7791340999538079,1,Correct
005,23,f,0,0,2,2,4,0,2 + 9 - 3 + 5 + 8,21,21,19,22,233.87598150002304,NA,233.87598440004513,238.89638439996634,241.36827710003126,241.36828309996054,242.88542860001326,243.90373720007483,w,19,2.4718927000649273,0,Incorrect
005,23,f,0,0,3,3,3,0,6 - 1 + 7 - 8 + 9,13,12,13,11,245.42101659998298,NA,245.4210207000142,250.44196339999326,251.1440839000279,251.14408980007283,252.66093050001655,253.67888100002892,w,13,0.7021205000346527,1,Correct
005,23,f,0,0,4,4,1,0,6 + 1 + 1 + 9 - 1,16,16,14,15,255.1958970000269,NA,255.19590000004973,260.21531840006355,260.943977399962,260.94398330000695,262.46071260003373,263.47838220000267,q,16,0.7286589998984709,1,Correct
005,23,f,0,0,5,5,1,0,4 + 9 + 1 - 1 - 1,12,13,12,11,264.99582509999163,NA,264.99582790001296,270.01580000005197,270.61600040004123,270.61600679997355,272.13273209996987,273.15111910004634,w,12,0.6002003999892622,1,Correct
005,23,f,0,0,6,6,2,0,4 + 8 + 1 + 1 - 5,9,11,9,8,274.668461299967,NA,274.6684644999914,279.6884769999888,283.4720332999714,283.4720390000148,284.9886535999831,286.0069585000165,e,8,3.7835562999825925,0,Incorrect
005,23,f,0,0,7,7,1,0,8 + 1 + 1 + 1 - 4,7,5,8,7,287.52395980001893,NA,287.5239632000448,292.54363349999767,293.8960125000449,293.89601849997416,295.4130013000686,296.43106980004814,e,7,1.3523790000472218,1,Correct
005,23,f,0,0,8,8,1,0,7 + 1 + 4 + 1 - 1,12,13,12,11,297.94861189997755,NA,297.94861500000115,302.9690113000106,303.87187270005234,303.8718789999839,305.38870250002947,306.40719629998785,w,12,0.9028614000417292,1,Correct
005,23,f,0,0,9,9,3,0,7 - 5 + 9 + 1 - 4,8,7,8,9,307.924380499986,NA,307.9243834000081,312.94481540005654,313.74392210005317,313.7439281999832,315.2611524000531,316.2796598999994,w,8,0.7991066999966279,1,Correct
005,23,f,0,0,10,10,2,0,8 + 1 + 1 + 9 - 4,15,14,16,15,317.7971584000625,NA,317.79716149996966,322.81701910006814,324.5599665000336,324.5599721999606,326.0767719000578,327.0945373000577,e,15,1.7429473999654874,1,Correct
005,23,f,0,0,11,11,2,0,6 + 1 + 7 + 5 - 1,18,16,17,18,328.61161650007125,NA,328.61161979997996,333.6320940000005,334.5199827000033,334.5199885000475,336.03702050005086,337.0553415999748,e,18,0.8878887000028044,1,Correct
005,23,f,0,0,12,12,3,0,5 + 6 + 7 - 1 - 9,8,8,7,9,338.57258659997024,NA,338.5725895999931,343.59308799996506,346.25611560000107,346.2561210000422,347.7732771000592,348.79163100000005,q,8,2.6630276000360027,1,Correct
005,23,f,0,0,13,13,4,0,2 + 9 - 4 + 8 + 7,22,22,23,21,350.3096760000335,NA,350.3096792000579,355.3299835000653,357.3920043000253,357.39200980006717,358.90876290004235,359.9268532000715,w,23,2.0620207999600098,0,Incorrect
005,23,f,0,0,14,14,2,0,8 + 1 + 4 - 7 + 1,7,7,6,5,361.44401870004367,NA,361.4440217000665,366.4643301999895,368.81590419996064,368.8159098000033,370.3327264999971,371.3510828000726,q,7,2.3515739999711514,1,Correct
005,23,f,0,0,15,15,2,0,4 + 9 + 1 - 7 - 1,6,8,6,5,372.86882279999554,NA,372.86882590001915,377.88998840004206,380.0958514000522,380.0958569999784,381.6124727000715,382.63077100005466,w,6,2.2058630000101402,1,Correct
005,23,f,0,1,16,0,3,0,2 - 4 + 9 + 7 + 1,15,13,16,15,442.0739165999694,NA,442.07391899998765,447.0942175000673,450.77573250001296,450.77573850005865,452.2928640000755,453.3117117000511,e,15,3.681514999945648,1,Correct
005,23,f,0,1,17,1,4,0,8 + 4 + 7 - 5 - 6,8,8,7,9,454.8289789999835,NA,454.8289819000056,459.84983479999937,461.75976449996233,461.7597706000088,463.2765522999689,464.29385550005827,q,8,1.9099296999629587,1,Correct
005,23,f,0,1,18,2,1,0,8 + 1 + 1 - 1 - 4,5,5,6,3,465.81135089998133,NA,465.8113538000034,470.8310383000644,471.50370950007346,471.5037150999997,473.020396900014,474.0383968000533,q,5,0.6726712000090629,1,Correct
005,23,f,0,1,19,3,2,0,6 + 1 + 1 + 7 - 9,6,4,8,6,475.5563092000084,NA,475.5563125000335,480.5768632000545,481.66369700001087,481.6637027000543,483.1803770000115,484.19752990000416,e,6,1.0868337999563664,1,Correct
005,23,f,0,1,20,4,4,0,4 + 7 + 8 - 3 + 9,25,24,26,25,485.714522400056,NA,485.7145254999632,490.73555800004397,493.91968679998536,493.9196926000295,495.43635610002093,496.4546021000715,e,25,3.1841287999413908,1,Correct
005,23,f,0,1,21,5,3,0,7 + 1 + 9 + 5 - 6,16,16,14,15,497.97185329999775,NA,497.9718565000221,502.99223990004975,507.03171870007645,507.0317247000057,508.54869269998744,509.5668111999985,q,16,4.0394788000267,1,Correct
005,23,f,0,1,22,6,4,0,5 + 8 - 4 - 6 + 9,12,13,14,12,511.08413119998295,NA,511.0841345000081,516.104103300022,519.751691200072,519.7516969999997,521.2686798999785,522.2868184000254,q,13,3.6475879000499845,0,Incorrect
005,23,f,0,1,23,7,1,0,5 + 6 + 1 + 1 + 1,14,16,15,14,523.8040638000239,NA,523.8040668000467,528.8228721000487,529.5675469000125,529.5675531000597,531.0841228000354,532.1024377000285,e,14,0.7446747999638319,1,Correct
005,23,f,0,1,24,8,2,0,7 + 8 + 1 + 9 + 1,26,24,26,25,533.6195634000469,NA,533.6195665000705,538.6397947999649,539.5837156999623,539.5837212000042,541.1010181000456,542.1195855999831,w,26,0.9439208999974653,1,Correct
