id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback
debug,25,M,0,Practice,NA,0,1,0,4 + 1 + 9 + 1 + 1,16,15,14,16,3.0271849632263184,NA,3.027186870574951,8.059537887573242,10.098836898803711,10.098843097686768,11.608115911483765,12.651933908462524,e,16,2.0392990112304688,1,Correct
debug,25,M,0,Practice,NA,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,14.161993026733398,NA,14.161999940872192,19.18129301071167,20.307005882263184,20.30701208114624,21.815612077713013,22.82540798187256,w,12,1.1257128715515137,1,Correct
debug,25,M,0,0,0,0,2,0,2 + 1 + 9 - 4 + 1,9,8,9,11,25.836272954940796,NA,25.836281061172485,30.857999086380005,32.07141399383545,32.07141995429993,33.57994794845581,34.592710971832275,q,8,1.2134149074554443,0,Incorrect
debug,25,M,0,0,1,1,3,0,3 + 1 + 8 - 5 + 9,16,16,17,15,36.103254079818726,NA,36.103256940841675,41.11704087257385,41.97259593009949,41.97260308265686,43.48099708557129,44.49015498161316,w,17,0.8555550575256348,0,Incorrect
debug,25,M,0,1,2,0,1,0,7 - 1 + 8 + 1 - 1,9,12,13,9,52.54001188278198,NA,52.540030002593994,57.558562994003296,57.86713004112244,57.86713695526123,59.376664876937866,60.388062953948975,e,9,0.3085670471191406,1,Correct
debug,25,M,0,1,3,1,2,0,7 + 6 + 1 + 8 + 1,16,22,16,21,61.89754009246826,NA,61.897541999816895,66.9143750667572,67.42165493965149,67.42166090011597,68.93038392066956,69.94015598297119,w,16,0.5072798728942871,1,Correct
debug,25,M,0,2,4,0,1,0,7 + 1 + 4 + 1 - 1,9,11,9,13,73.69421792030334,NA,73.69422006607056,78.71301698684692,79.30369687080383,79.3037040233612,80.81314492225647,81.82284188270569,e,13,0.5906798839569092,0,Incorrect
debug,25,M,0,2,5,1,1,0,2 + 9 + 1 + 1 + 1,16,13,16,12,83.33168005943298,NA,83.33168196678162,88.34830689430237,90.078115940094,90.07812190055847,91.58670902252197,92.59569787979126,q,13,1.729809045791626,0,Incorrect
debug,25,M,1,0,0,0,1,0,7 + 1 + 5 + 1 - 1,13,12,14,13,110.07625794410706,112.09791588783264,113.60485291481018,118.62357807159424,123.64023399353027,123.6402359008789,125.14924097061157,126.16077709197998,NA,NA,NA,0,Too Slow!
